;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Wahlb. ohne Sperrv.;Wahlb. mit Sperrv.;Wahlb. insges.;Wähler;dav. mit Wahl-schein;Abge-gebene Wahlkreisstimmen;Ungült. Wahlkreis-stimmen;Gültige Wahlkreis-stimmen;Möller,Klaus Peter;CDU;Merz,Gerhard;SPD;Greilich,Wolfgang;FDP;Hofmann,Hiltrud;GRÜNE;Richter,Alexander;DIE LINKE;- - -;REP;- - -;FREIE WÄHLER;- - -;NPD;- - -;PIRATEN;- - -;BüSo;Klis,Peter;---;
 Nr ;Bereich;A1;A2;A1+A2;B;B1;B;C;D;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;
904;Brüder-Grimm-Schule - Eingang C;638;71;709;485;2;485;15;470;145;133;181;128;73;83;54;94;16;21;0;2;0;5;0;3;0;2;0;0;1;0;
1001;Mehrzweckhalle Allendorf;1.325;133;1.458;935;0;935;24;911;281;237;393;314;115;140;88;148;24;28;0;3;0;24;0;7;0;6;0;1;10;0;
1101;Wilde 13";904;77;981;590;0;590;18;572;222;187;206;168;66;87;47;75;28;33;0;4;0;15;0;8;0;0;0;1;3;0;
1102;Lindbachschule Lützellinden;807;51;858;478;0;478;20;458;202;175;138;105;51;64;37;70;23;19;0;4;0;14;0;3;0;6;0;0;7;0;
90001;Briefwahl;0;0;0;534;534;534;8;526;171;162;189;142;62;76;80;107;22;39;0;0;0;4;0;1;0;1;0;0;2;0;
90002;Briefwahl;0;0;0;550;550;550;1;549;175;139;206;142;53;87;90;130;19;36;0;0;0;8;0;3;0;3;0;0;6;0;
90003;Briefwahl;0;0;0;443;443;443;8;435;172;150;133;103;52;75;41;58;32;35;0;2;0;10;0;4;0;3;0;1;5;0;
90004;Briefwahl;0;0;0;473;473;473;2;471;218;202;132;103;53;62;36;52;27;37;0;1;0;10;0;2;0;2;0;0;5;0;
90005;Briefwahl;0;0;0;420;420;420;5;415;151;147;143;106;48;53;47;72;21;27;0;2;0;6;0;1;0;3;0;1;5;0;
90006;Briefwahl;0;0;0;518;518;518;4;514;212;206;132;106;89;91;56;78;22;25;0;2;0;2;0;0;0;1;0;2;3;0;
90007;Briefwahl;0;0;0;400;400;400;12;388;119;104;142;106;43;59;66;86;17;31;0;1;0;4;0;2;0;1;0;0;1;0;
90008;Briefwahl;0;0;0;557;557;557;8;549;241;235;147;121;73;75;58;78;22;30;0;1;0;12;0;1;0;2;0;0;8;0;
;Gesamt;49.759;4.159;53.918;31.344;3.914;31.344;870;30.474;9.555;8.391;12.075;9.094;3.225;4.103;3.634;5.754;1.753;2.233;0;109;0;513;0;165;0;244;0;48;232;0;
